"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
56.6,56.7,56.4,58.7,56.4,58.9,54.2,55.2,53,53.2,52.9,52.5,56.7,54.4,55.6,54.8
57.2,57.7,58.6,57.6,57.9,57.8,54.9,55.3,52.5,53.2,54.1,51.6,54.9,58.4,55.9,54.1
57.4,55.5,56.2,57.9,57.4,55.1,55.7,55.4,52.9,52.9,53.5,52.9,53,50.3,56.6,57.7
55.6,57.8,57.2,57.2,55.6,55,55.1,53.4,52.1,53.3,51.5,53.3,53.9,54.5,56.5,57.9
58.8,59.2,57.1,57.5,54.5,55.7,55.3,49.4,54.1,54.4,55.6,55.2,55.2,54.7,55.6,53.9
55.7,52.1,58.5,56.9,53.4,53.5,54.6,54.7,55.7,55.1,55.1,54,53.1,54.7,54.7,51.9
50.1,53.1,53.3,53.6,53.9,53.6,53.8,53.9,52.7,54.2,53.8,54.2,52.6,57.2,57,53.9
50.3,43.5,51.3,54.5,53.3,54.6,55.7,55.3,53.8,53.6,53.9,54.6,52.2,56.6,56.6,55.7
53,54.1,53.3,54.9,54.3,56,53.8,52.1,48.6,47.7,47.9,48.7,48.9,47.4,49.3048216413696,49.2083498990147
53.7,53.3,52.9,52.3,53.3,54.3,51.3,53.5,50,47.3,48.6,47.6,50,46.4,45,64.6
52.8,53.3,54.9,51.9,54.4,52.9,53.5,54.5,49,50,48.8,48.1,50.5,51.1,46.2,46.5
53.5,54.7,52.4,53.1,54,55.3,55.2,56.3,50.6,51,49.8,50.2,50.7,51,46,46.4
51.1,52.1,50.9,51.8,52,51.6,49.6,50.4528253576173,52.6,51,51.7,49.9,45.1,46.6,46.9,46.1
53.6,52.6,53.4,51.4,51.8,52.6,52.8,49,50.3,53.1,48.1,49.7,48.6,47.6,46.4,47
54.7,52.7,54.1,53,52,52.4,48.1,49.8,50.3,49.9,47.3,49.1,48.8,48.9,41.2,44.8
53.1,54.8,54.6,49.7,52.9,52.7,50.6,51.2,50.1,52.6,51.2,49.2,46.7,47.4,44.6,43.2
