"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
80,80,79.8,80,80,80,80,80,80,80,80,80,80,79.9,80,80
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
80,80,80.1,80,80,80,80,80,80,80,80,80,80,80,80,80
80,77.4,80,80,79.9,79.9,80,80,80,80,80,80,80,80,80,80
77.4,80.2,79.9,80,80,80,80,80,80,80,80,80,80,80,80,80
77.1,74.8,78.9,80,80,80,80,80,80,80,78.9,79.2,80,80,80,80
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
80,80,80.3,80.7,80,80,80,80,80,80,80,80,80,80,80,80
79.9,80,80,80,80,80,79.9,80,80,80,80,80,80,80,81,80
80,80,80,80,80,80.5,80,80,80,80,80,80,80,80,80,80
79.9,80,80,80,80,80,80,80.3,80,80,80,80,80,80,80,80
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
