"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
16,18.3,17.7,15.4,17.2,14.2,15,14.4,14.6,15.6,18.4,16.8,17.2,17.3,14.1,16.1
19.1,18.6,17.2,16.3,12.8,14.7,17.2,15.1,17.7,18,18.5,16.7,15.9,14.2,13.3,7.5
17.1,18.8,18.2,18.4,12.2,16.6,14.8,15.3,15.6,18.4,18.7,19.3,16.7,21.7,18.6,18.6
14.5,18,17.7,17.4,13.6,16.7,13.5,14.7,17.8,16.5,20.2,16.1,18.6,12.7,15,17.5
16.5,16.8,18.2,18.2,16,14.8,16.5,15.3,16.2,17.2,18.3,19.1,17.8,17.5,17,16.8
17.1,15.7,16.8,19.2,14.5,14.7,12.4,16.2,13.2,16.5,20.6,17.3,17.6,17.9,16.5,20.8
13.7,15.6,17.8,17.8,13.9,14.4,15.1,15.5,11.4,17.6,17.2,13.7,15.3,16,20.7,12.7
17.6,18.2,16.7,17,17,13.6,16.6,16.3,17.1,13.9,16.9,18,20.1,15.5,16.3,15.8
13.7,15.4,8.9,11.6,7.1,12.9,17.6,18.5,16.7,16.5,16.3,15.3,16.8,16,15,15.7
11.2,16.2,11.8,13.6,15.3,6.1,16.8,15.9,17.4,18.3,15.9,17.2,16.1,19.8,16.8,16.6
14.4,16.3,14.1,17.1,9.2,16.2,13.3,7.9,17.7,16.4,15.8,17.4,17.6,14.3,14.6,12.6
14.1,17.5,18.2,16.6,19.4,13.7,13.9,12.6,14,14.2,13.1,12.9,14.1,14.4,17,18.4
18,15.1,12.7,15.6,16.5,16.4,16.2,13.4,16.7,16.7,12.1,11.4,18.1,13.6,18.2,15.8
15.4,9.1,17,14.4,14.9,16.1,13,15.8,14.4,15.9,16.5,13.6,13.9,15.5,16.6,14.3
17.5,15.9,15.1,10,17.7,12.5,17.9,17,15.7,17.3,17.1,13.8,16.6,14.9,16.9,13.4
15.6,13.9,13.8,16.8,13.9,14,15.9,16.7,19,17.8,16.3,16.8,17.7,16.2,16.7,16.1
