"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
97,97,97,97,96.6,96.7,96,96,96,96,96,96,96,96,96,96
96.8,96.3,97,97,97,96.4,96,96,96.2,96,96,95.6,95.9,96,96,95.8
96.3,96.3,96.8,97,96.7,96,96,96,96,96,96,96,95.6,95.9,96,96
96.7,97,97,97,96.1,96,96.2,96,96,95.6,95.7,96,96,96,96,96
97,97,96.8,96.8,97,96.9,97,96.1,96,96,96,96,96,96,96.4,95.5
96.9,97,97,97,96.7,96.1,96.8,96.7,96.2,96,95.9,96,96,96,96.1,96
97,97,97,97.3,96.6,96.5,96.5,97,96,96,96,96,96,96.5,96.1,96.1
97,96.7,97,97,96.7,96.9,96.8,96.5,96,96,96,96,96.4,97,96.5,96.4
96.4,96.8,97,97,97,97,97,96.7,96.8,97,96,96.2,97,97,95.6,95.8
96.5,96.9,96.6,96.8,96.9,96.6,97,97,96.6,96.9,96,96.7,97,96,96,95.7
97,96.1,96.5,96.3,97,96.6,96.6,97,96.9,97,96.4,96.7,97,97,95.6,95.7
96.8,96.2,96,96.5,96.9,97,96.1,96.8,97,97,97,97,97,97,95.6,96
96.1,96.3,96.8,97,96,96.6,96,96,97,96,96,96,96,96,96.3,96
97,97,97,96.8,96.7,96.8,96.2,96.5,96.5,96,95.9,95.5,96.8,96,96.3,96
96.8,96.2,96.4,96.8,96.7,96.6,96,96.7,96,96,96,96,97,96.5,95,95.4
96.3,96.1,96.5,96.3,96.6,96.7,96,96,96,96,96,96,96.1,96.2,96,96
