features,1_fold_column_mean,1_fold_column_std,2_fold_column_mean,2_fold_column_std,3_fold_column_mean,3_fold_column_std,4_fold_column_mean,4_fold_column_std,5_fold_column_mean,5_fold_column_std
heartrate__abs_energy,2925807.904862972,1064827.5420749504,2912334.217894583,1042815.1790176306,2948455.188137034,1095383.1324185454,2893419.210671328,1059753.607436025,2942038.675060227,1073077.7062835884
heartrate__absolute_sum_of_changes,625.8995997218183,432.4692375128896,623.8709729584847,476.8698508203438,630.9317301267266,514.7284478901377,651.2790988529558,537.3697706662987,638.8805900968073,501.1109806452864
"heartrate__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.4630514205841972,0.2281775658255725,0.4719249631079366,0.2257913155129208,0.46819360245792,0.2254238811369328,0.4630696592145704,0.2274934057352941,0.4708925170690322,0.22521807356964274
"heartrate__agg_autocorrelation__f_agg_""median""__maxlag_40",0.436261129696785,0.2473708477086215,0.44521254028866986,0.245672236154698,0.44050407492294497,0.24512460151911655,0.4373579941186852,0.2463923680153636,0.4446723974162268,0.2443959574648619
"heartrate__agg_autocorrelation__f_agg_""var""__maxlag_40",0.030600819172212974,0.035993577885903565,0.030527502851212505,0.02890611471332478,0.030645632606319938,0.037459576086234965,0.031635727417267306,0.044693380259948505,0.0316817872969852,0.04465261764553409
"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",84.83633224797019,16.277213420692295,84.5168016952974,16.052970632458837,85.06315932676794,16.503661336789413,84.34380469318995,16.288432015995546,84.82638497991225,16.354689724686743
"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",81.7334168351657,16.153673104818324,81.4696690193113,15.886915903183501,81.95222316048947,16.521489653777838,81.18863743108626,16.19720599679815,81.73736963846619,16.293242139840427
"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",79.27321630985499,16.079082683821863,79.03468684566089,15.791004919360757,79.5041692199902,16.542579172745487,78.69179282239449,16.130999267410065,79.27996931337702,16.205335633790863
"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",6.628678627829131,15.823659296918898,6.511131513948749,15.638638906816652,6.553783218854621,15.243056705462305,6.764956281555402,16.057414260005974,6.150184202705282,10.43929495313644
"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",89.58841369963541,16.66139156000808,89.23036357296942,16.390143499947573,89.86680926860797,16.599697066120882,89.17305967314844,16.58723766604391,89.53390354637371,16.553980687890476
"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",81.72947386672239,15.965043450780403,81.4849852777903,15.691946212158939,81.95386876275509,16.341682172998212,81.19132836490645,16.002982006537106,81.75938419340821,16.098950516417954
"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",76.67126365506367,15.69189162348007,76.45391469205998,15.406854066231158,76.98684141630913,16.1778946677697,76.10811067873895,15.723657467221427,76.7108462241902,15.774959361288516
"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",14.944174345974595,29.875279272640466,14.72345384858938,29.47917396620197,14.465742119868805,27.55063925528079,15.101868924676516,30.27927695432489,14.110665099136524,22.728718859325642
"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",83.64075719191551,16.24921054736357,83.34394590355845,16.021166750939766,83.86908362314651,16.53461170861095,83.1340627867596,16.278529601006753,83.6424048159439,16.36043031257493
"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",81.73131111942429,16.180093447148323,81.46606475403837,15.91428404884375,81.94958008088673,16.54706335712445,81.18585323763618,16.224378325871243,81.73280164781282,16.319972031966042
"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",80.04642519029316,16.148014498938934,79.79780732187078,15.857360157696213,80.26286726291279,16.586090077711074,79.4667157762546,16.198151584934074,80.04536278754237,16.282173792440485
"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",4.451366888826986,9.986048911696091,4.331426669420364,10.15687129378345,4.447466730914078,10.295690645658524,4.526914625431257,10.265673819519256,4.191557451860727,7.784604304463952
"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.02789444445296693,0.4840652622410362,0.027575452010632544,0.4883599455237785,0.018154836845035383,0.485605687545973,0.030178183650029895,0.4847756653503041,0.03515357391967111,0.4879053714743203
"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.023936322898919813,0.5402852854232283,0.02123743377682706,0.5420539796071612,0.015342650894631415,0.5408696365654609,0.02788486963353269,0.5414198436170912,0.033502017142092326,0.5412591510576271
"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.01561107853236911,0.5457521425136163,0.012533682843245068,0.5490571005655702,0.009573361344840041,0.5478680824115976,0.02011775853230031,0.549619149528861,0.025309372272240345,0.5472706605459666
"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",0.015167685703398043,0.22076947571970376,0.015406015733126294,0.22138066821876107,0.010837089322490388,0.2182384796603908,0.013879485646391866,0.220265721647006,0.012584706520846534,0.22004517286556036
"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",-0.04016168099266912,0.541516114677222,-0.04304212266139877,0.545415841024787,-0.05232741860177219,0.5409121185181979,-0.0405866869301958,0.5430494645582411,-0.031580956364747684,0.5445098450647584
"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",0.030892696727475737,0.6251885118441562,0.024805361325057645,0.6250670896683359,0.018765908806650602,0.6246037308315427,0.03540239831018042,0.6253749719022598,0.039663012056587434,0.6231387381320846
"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",-0.057651755256774524,0.3871953471126228,-0.05677555902870576,0.3907300211769541,-0.06206930838585897,0.3856817396344776,-0.057673749587216286,0.3881455195684367,-0.05464229198584613,0.38554346906864734
"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.02645512163150911,0.4846173804104877,0.0262976601312145,0.4887640319480466,0.01687581454944741,0.4866967837448799,0.029203756577720917,0.4853432023553459,0.03415379430242345,0.48805505852290293
"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.02283739761645415,0.5215117820981017,0.02091251427495872,0.5244048930831279,0.014765484151300462,0.5225483790586501,0.026439666006996532,0.5227687687691143,0.03208692314867842,0.5230633704256031
"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.017720682427984115,0.5283317518096021,0.014759121761036359,0.5320291262223404,0.011974483331472387,0.5304450935258783,0.02146453881223035,0.5310796091442099,0.0268633222963504,0.5302228284266809
"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",0.011770129107469695,0.17368759082498986,0.013880357329959469,0.17411070485995786,0.008729186204361236,0.17235663686214292,0.010855412718698556,0.17294627112853905,0.010012832611449772,0.17255040505074565
